[2020-08-24 12:56:56.241] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/pug/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/pug/package.json'
[2020-08-24 12:56:56.241] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/jake/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/jake/package.json'
[2020-08-24 12:56:56.241] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/gulp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/gulp/package.json'
[2020-08-24 12:56:56.241] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/grunt/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/grunt/package.json'
[2020-08-24 12:57:29.537] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/image-preview/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/image-preview/package.json'
[2020-08-24 12:57:50.716] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/gulp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/gulp/package.json'
[2020-08-24 12:58:24.554] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/json/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/json/package.json'
[2020-08-24 12:58:24.554] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/css/package.json'
[2020-08-24 12:58:24.554] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/html/package.json'
[2020-08-24 12:58:24.554] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/yaml/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/yaml/package.json'
[2020-08-24 12:58:24.554] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/cpp/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/cpp/package.json'
[2020-08-24 12:58:24.554] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/docker/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/docker/package.json'
[2020-08-24 12:58:24.554] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-language-features/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-basics/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/typescript-basics/package.json'
[2020-08-24 12:58:24.555] [renderer1] [error] EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/merge-conflict/package.json': Error: EACCES: permission denied, open '/usr/share/vscodium-bin/resources/app/extensions/merge-conflict/package.json'
